SubjID,Study,Name,Trial,Picture,Bash,Other shells (e.g. ZSH),tmux,Sophie,Python,mTurk/Qualtrics integration,mTurk scripting,Browser developer console,Vim,This framework,Response Time,Instructions Time
3003137,demo/lab_survey,desire,1,,3,1,3,2,4,4,5,5,3,5,-58503805079232,0
SubjID,Study,Name,Trial,Picture,Bash,Other shells (e.g. ZSH),tmux,Sophie,Python,mTurk/Qualtrics integration,mTurk scripting,Browser developer console,Vim,This framework,Response Time,Instructions Time
3683951,demo/lab_survey,desire,1,,4,4,4,4,6,6,6,4,4,4,-58503803728087,0
SubjID,Study,Name,Trial,Picture,Bash,Other shells (e.g. ZSH),tmux,Sophie,Python,mTurk/Qualtrics integration,mTurk scripting,Browser developer console,Vim,This framework,Response Time,Instructions Time
4112867,demo/lab_survey,desire,1,,4,4,4,4,4,4,4,4,4,4,-58503805206349,0
SubjID,Study,Name,Trial,Picture,Bash,Other shells (e.g. ZSH),tmux,Sophie,Python,mTurk/Qualtrics integration,mTurk scripting,Browser developer console,Vim,This framework,Response Time,Instructions Time
4220956,demo/lab_survey,desire,1,,1,1,1,1,1,1,1,1,1,1,-58503805696446,0
SubjID,Study,Name,Trial,Picture,Bash,Other shells (e.g. ZSH),tmux,Sophie,Python,mTurk/Qualtrics integration,mTurk scripting,Browser developer console,Vim,This framework,Response Time,Instructions Time
4886265,demo/lab_survey,desire,1,,1,1,1,1,6,7,7,5,1,1,-58503804912917,0
SubjID,Study,Name,Trial,Picture,Bash,Other shells (e.g. ZSH),tmux,Sophie,Python,mTurk/Qualtrics integration,mTurk scripting,Browser developer console,Vim,This framework,Response Time,Instructions Time
5331852,demo/lab_survey,desire,1,,1,1,1,6,7,7,7,7,7,7,-58503805152160,0
SubjID,Study,Name,Trial,Picture,Bash,Other shells (e.g. ZSH),tmux,Sophie,Python,mTurk/Qualtrics integration,mTurk scripting,Browser developer console,Vim,This framework,Response Time,Instructions Time
7747319,demo/lab_survey,desire,1,,2,2,2,2,2,6,6,4,2,2,-58503805133576,0
SubjID,Study,Name,Trial,Picture,Bash,Other shells (e.g. ZSH),tmux,Sophie,Python,mTurk/Qualtrics integration,mTurk scripting,Browser developer console,Vim,This framework,Response Time,Instructions Time
8101301,demo/lab_survey,desire,1,,7,4,4,5,5,4,4,5,5,4,-58503805189155,0
SubjID,Study,Name,Trial,Picture,Bash,Other shells (e.g. ZSH),tmux,Sophie,Python,mTurk/Qualtrics integration,mTurk scripting,Browser developer console,Vim,This framework,Response Time,Instructions Time
8406689,demo/lab_survey,desire,1,,7,7,7,7,7,7,7,7,7,7,-58503805358999,0
SubjID,Study,Name,Trial,Picture,Bash,Other shells (e.g. ZSH),tmux,Sophie,Python,mTurk/Qualtrics integration,mTurk scripting,Browser developer console,Vim,This framework,Response Time,Instructions Time
8473950,demo/lab_survey,desire,1,,7,4,4,7,7,7,7,5,1,7,-58503805092808,0
